"報告年度:2022","議題:能源管理"
"公司代號","公司名稱","使用率(再生能源/總能源)-使用率(再生能源/總能源)","資料範圍-資料範圍","取得驗證-取得驗證"
"=""2442""","新美齊","無，詳年報說明","",""
"=""2444""","兆勁","0.0000","母公司",""
"=""2449""","京元電子","無，尚未導入再生能源","","ISO 50001"
"=""2450""","神腦","0.0000","新店總公司共10間辦公室",""
"=""2451""","創見","0.0000","僅母公司",""
"=""2453""","凌群","無，無統計相關數據","",""
"=""2454""","聯發科","0.0000","僅母公司","ISO 50001"
"=""2455""","全新","無，未使用再生能源","",""
"=""2457""","飛宏","0.0800","31,620kwh",""
"=""2458""","義隆","無，無統計相關數據","",""
"=""2459""","敦吉","無，無統計相關數據","",""
"=""2460""","建通","無，詳年報說明","",""
"=""2461""","光群雷","無，無統計相關數據","",""
"=""2462""","良得電","無，無統計相關數據","",""
"=""2464""","盟立","無，無統計相關數據","",""
"=""2465""","麗臺","無，無統計相關數據","",""
"=""2466""","冠西電","無，無使用","",""
"=""2467""","志聖","無，無統計相關數據","",""
"=""2468""","華經","無，無統計相關數據","",""
"=""2471""","資通","無，無統計相關數據","",""
"=""2472""","立隆電","無，無統計相關數據","",""
"=""2474""","可成","0.0000","僅母公司台南廠區",""
