"報告年度:2023","議題:水資源管理"
"公司代號","公司名稱","用水量(公噸(t))-用水量(公噸(t))","資料範圍-資料範圍","用水密集度-用水密集度","用水密集度-單位","驗證標準-取得驗證"
"=""1723""","中碳","277,200.0000","母公司","34.2600","公噸/百萬元營業額","N/A"
"=""1725""","元禎","2,814.0000","母公司","0.3753","公噸/百萬元營業額","N/A"
"=""1726""","永記","58,900.0000","20230101~20231231","N/A","N/A","ISO14001"
"=""1727""","中華化","373,353.0000","廠區總取水量","2.5656","公噸/產品","N/A"
"=""1730""","花仙子","855.0000","台北總公司","0.4258","公噸/百萬元營業額","N/A"
"=""1731""","美吾華","61,800.3800","台北總公司、台中及高雄服務中心及楊梅工廠及物流中心","N/A","N/A","N/A"
"=""1732""","毛寶","17,155.0000","母公司","30.9700","公噸/百萬元營業額","N/A"
"=""1733""","五鼎","46,514.0000","全廠","0.0501","每千片試片","N/A"
"=""1734""","杏輝","133,002.0000","母公司","0.0448","公噸/仟元營業額","N/A"
"=""1735""","日勝化","38,719.0000","僅母公司(南崗廠、大園廠)","2.3080","公噸/產品","N/A"
"=""1736""","喬山","257,370.0000","集團總部與台灣廠、上海廠、越南廠之地下水與第三方用水","10.3847","公噸/百萬元營業額","N/A"
"=""1737""","臺鹽","33,147.0000","台鹽公司112年度環境會計年度列帳資料、自來水","10.4602","公噸/百萬元營業額","N/A"
"=""1752""","南光","113,455.0000","總公司與台北辦公室年度總用水量，含民生用水","52.7698","公噸/百萬元營業額","N/A"
"=""1760""","寶齡富錦","106,480.0000","平鎮廠+正峰大園廠","N/A","N/A","N/A"
"=""1762""","中化生","187,322.0000","「中化合成生技股份有限公司」的生產製程、生產設施及營業活動之溫室氣體排放之責任界限","91.8862","公噸/百萬元營業額","N/A"
"=""1773""","勝一","372,896.0000","母公司","41.4836","公噸/百萬元營業額","N/A"
"=""1776""","展宇","9,403.0000","僅母公司","15.8834","公噸/百萬元營業額","N/A"
"=""1783""","和康生","1.8000","母公司","N/A","N/A","N/A"
"=""1786""","科妍","26,606.0000","母公司","N/A","N/A","N/A"
"=""1789""","神隆","149,839.0000","僅母公司南科廠(台南市善化區南科八路一號) ","0.0077","百萬公升/公斤","N/A"
"=""1795""","美時","111,572.0000","台灣南投廠、韓國公州廠及韓國鄉南廠","6.5800","公噸/百萬元營業額","N/A"
"=""1802""","台玻","1,970,419.0000","台灣各廠區","1,970,419.0000","公噸/產品","ISO 46001"
"=""1805""","寶徠","N/A","N/A","N/A","N/A","N/A"
"=""1806""","冠軍","258,228.0000","苗栗縣造橋鄉豐湖村一鄰乳姑山2號","0.0258","公噸/產品","N/A"
"=""1808""","潤隆","223.0000","本公司台北辦公室","0.0073","公噸/百萬元營業額","N/A"
"=""1809""","中釉","11,659.0000","竹東廠：地址位於新竹縣竹東鎮頭重里中興路四段136號、竹東廠附設宿舍：新竹縣竹東鎮民生路86號、鶯歌廠：桃園市八德 區興豐路2345巷86號、苗栗廠及苗栗廠辦公室：苗栗縣通霄鎮通灣里65之18號。","N/A","N/A","N/A"
"=""1810""","和成","206,876.0000","112年度","65.9287","公噸/百萬元營業額","N/A"
"=""1817""","凱撒衛","1,852.0000","台灣地區","0.7408","公噸/百萬元營業額","N/A"
"=""1903""","士紙","6.2700","本公司用水包含員工生活用水、旅館與餐經經營用水，水源皆屬於水庫之自來水。","N/A","N/A","N/A"
"=""1904""","正隆","2,737,107.0000","母公司","9.4700","公噸/產品","N/A"
"=""1905""","華紙","28,159,000.0000","母公司個體中華紙漿臺灣生產據點(觀音廠、久堂廠、花蓮廠、台東廠及營業據點)及海外子公司(廣東鼎豐紙業、肇慶鼎豐林業、貴州元豐林業有限公司)","19.4000","公噸/產品","N/A"
"=""1906""","寶隆","179.1200","本公司","N/A","N/A","N/A"
"=""1907""","永豐餘","44,677,860.0000","永豐餘林漿紙、工紙紙器、消費品三大事業群之所有生產據點。","9.8209","公噸/產品","ISO 14001"
"=""1909""","榮成","57,928,880.0000","母公司","3.7500","公噸/產品","用水回收率"
"=""2002""","中鋼","40,962,122.0000","以中鋼公司小港廠(含第三冷軋廠)為用水範圍","5.0400","公噸/產品","N/A"
"=""2006""","東和鋼鐵","2,098,137.0000","母公司","1.1689","公噸/鋼胚產量","ISO14001"
"=""2007""","燁興","128,310.0000","本公司","0.0180","百萬公升/百萬元營業額","N/A"
"=""2008""","高興昌","29,845.0000","個別財報(本公司無子公司) 高雄總公司、屏東分公司、台北分公司","0.8780","公噸/產品","N/A"
"=""2009""","第一銅","156,742.2209","第一伸銅科技股份有限公司臨海廠","0.7189","公噸/產品","N/A"
"=""2010""","春源","86,384.0000","春源鋼鐵母公司在台灣之營運據點","0.0002","公噸/產品","ISO14001"
"=""2012""","春雨","177,940.0000","本廠","N/A","N/A","N/A"
"=""2013""","中鋼構","34,420.0000","母公司","1.8300","公噸/百萬元營業額","N/A"
"=""2014""","中鴻","1,111,034.0000","112/1/1~112/12/31(中鴻公司)","29.4212","公噸/百萬元營業額","N/A"
"=""2015""","豐興","1,756,986.0000","僅母公司","50.3694","公噸/百萬元營業額","ISO 14001:2015"
"=""2017""","官田鋼","160,133.4000","母公司","70.6991","公噸/百萬元營業額","N/A"
"=""2020""","美亞","6,592.0000","埔心總廠","0.9400","公噸/百萬元營業額","N/A"
"=""2022""","聚亨","37,718.0000","母公司(一廠 ; 二廠 ; 三廠)","0.6122","公噸/產品","N/A"
"=""2023""","燁輝","336,080.0000","母公司","13.6300","公噸/百萬元營業額","N/A"
"=""2024""","志聯","136,122.0000","公司＋工廠","148.6048","公噸/百萬元營業額","N/A"
"=""2025""","千興","29,886.0000","僅母公司","0.0405","公噸/千元營業額","N/A"
"=""2027""","大成鋼","95,825.5439","母公司","10.0390","公噸/百萬元營業額","N/A"
"=""2028""","威致","563,540.0000","個別公司","1.0614","公噸/產品","N/A"
"=""2029""","盛餘","434,255.0000","僅母公司","0.3700","公噸/產品","N/A"
"=""2030""","彰源","106,611.0000","2023年一廠、二廠、三廠、元山、元富廠、大連廠、員製課、南營部、北營部。","1.1759","公噸/產品","N/A"
"=""2031""","新光鋼","19,696.0000","新光鋼鐵股份有限公司(觀音廠、彰濱廠、高雄廠)","1.4496","公噸/百萬元營業額","N/A"
"=""2032""","新鋼","N/A","N/A","N/A","N/A","N/A"
"=""2033""","佳大","24,459.2000","母公司","N/A","N/A","N/A"
"=""2034""","允強","125,088.0000","僅母公司","0.9672","公噸/產品","N/A"
"=""2038""","海光","81,875.0000","工業水使用","8.8447","公噸/百萬元營業額","N/A"
"=""2049""","上銀","594,102.0000","1.全公司2023年1月到12月 2.驗證範圍僅有營運總部，覆蓋率7.69%","0.0340","公噸/百萬元營業額","ISO 46001"
"=""2059""","川湖","49,980.0000"," 母公司及子公司川益科技(股)公司兩個廠區","0.0194","平方公尺產品表面積","N/A"
"=""2062""","橋椿","116,064.0000","2023/1/1~12/31","0.0450","公噸/產品","N/A"
"=""2069""","運錩","12,566.0000","母公司","N/A","N/A","N/A"
"=""2101""","南港","93,672.0000","2023年全年度用水量","23.9809","公噸/百萬元營業額","N/A"
"=""2102""","泰豐","11,435.0000","僅母公司","N/A","N/A","N/A"
"=""2103""","台橡","5,127,720.0000","涵蓋範圍包含母公司及實質營運子公司(含營運及貿易子公司)","9.6567","公噸/產品","SASB"
"=""2104""","國際中橡","1,179,950.0000","子公司林園先進","7.5104","公噸/產品","N/A"
"=""2105""","正新","828,532.0000","母公司","47.4880","公噸/百萬元營業額","N/A"
"=""2106""","建大","224,100.0000","台灣地區(雲林廠、斗六廠、研發總部、員林廠)","6.5063","公噸/百萬元營業額","N/A"
"=""2107""","厚生","N/A","N/A","N/A","N/A","N/A"
"=""2108""","南帝","372,610.0000","僅母公司","3.6873","公噸/產品","ISO 14001"
"=""2109""","華豐","236,211.0000","人工抄表流量計","112.6611","公噸/百萬元營業額","N/A"
"=""2114""","鑫永銓","10,344.0000","母公司","N/A","N/A","N/A"
"=""2115""","六暉-KY","135,699.3120","包含合併財務報表之母子公司","52.3443","公噸/百萬元營業額","N/A"
"=""2201""","裕隆","194,816.4600","裕隆汽車母公司個體營運據點(三義廠區)","7.7239","公噸/百萬元營業額","N/A"
"=""2204""","中華","184,432.0000","楊梅廠與新竹廠","3.4800","公噸/產品","ISO 46001"
"=""2206""","三陽工業","500,201.0000","新竹廠、新豐廠、零件業務部、宿舍","10.1500","公噸/百萬元營業額","N/A"
"=""2207""","和泰車","16,170.0000","全公司","28.0000","公噸/人","N/A"
"=""2208""","台船","505,206.0000","台船公司高雄廠區、基隆廠區","25.8498","公噸/百萬元營業額","N/A"
