"報告年度:2023","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物(公噸(t))-有害廢棄物(公噸(t))","非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t))","總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t))","資料範圍-資料範圍","廢棄物密集度-密集度(公噸/單位)","廢棄物密集度-單位","驗證標準-取得驗證"
"=""1762""","中化生","1,868.4600","620.0400","2,488.5000","「中化合成生技股份有限公司」的生產製程、生產設施及營業活動之溫室氣體排放之責任界限","1.2207","公噸/百萬元營業額","N/A"
"=""1773""","勝一","0.0000","660.9200","660.9200","母公司","0.0735","公噸/百萬元營業額","N/A"
"=""1776""","展宇","57.0000","467.3270","524.3270","僅母公司","0.8857","公噸/百萬元營業額","N/A"
"=""1783""","和康生","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1786""","科妍","0.0570","72.0000","72.0570","母公司","N/A","N/A","N/A"
"=""1789""","神隆","3,647.6600","425.3560","4,073.0160","僅母公司南科廠(台南市善化區南科八路一號)","1.3545","公噸/百萬元營業額","N/A"
"=""1795""","美時","N/A","N/A","413.2100","N/A","0.2200","公噸/百萬元營業額","N/A"
"=""1802""","台玻","72.0800","16,718.8500","16,790.9300","台灣各廠","N/A","N/A","ISO 9001,ISO 14001"
"=""1805""","寶徠","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1806""","冠軍","0.0000","13,212.4600","13,212.4600","苗栗縣造橋鄉豐湖村一鄰乳姑山2號","0.0013","公噸/產品","N/A"
"=""1808""","潤隆","0.0000","26,647.5000","26,647.5000","本公司建案：基隆德安C區、中和圓通337地號、桃園善捷76、台中惠安223、台中中正228。","0.8710","公噸/百萬元營業額","N/A"
"=""1809""","中釉","230.8400","159.9400","390.7800","竹東廠：地址位於新竹縣竹東鎮頭重里中興路四段136號、苗栗廠：苗栗縣通霄鎮通灣里65之18號。","N/A","N/A","N/A"
"=""1810""","和成","0.0000","4,093.3030","4,093.3030","4093.303","1.3045","公噸/百萬元營業額","N/A"
"=""1817""","凱撒衛","0.0000","72.7000","72.7000","台灣地區","0.0290","公噸/百萬元營業額","N/A"
"=""1903""","士紙","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1904""","正隆","0.0000","328,070.0000","328,070.0000","母公司","21.9483","公噸/產品","N/A"
"=""1905""","華紙","0.0000","178,809.0000","178,809.0000","母公司個體中華紙漿臺灣生產據點(觀音廠、久堂廠、花蓮廠、台東廠及營業據點)及海外子公司(廣東鼎豐紙業、肇慶鼎豐林業、貴州元豐林業有限公司)","0.2057","公噸/產品","N/A"
"=""1906""","寶隆","0.0000","1.2000","1.2000","本公司","N/A","N/A","N/A"
"=""1907""","永豐餘","764.0000","562,444.0000","563,208.0000","永豐餘林漿紙、工紙紙器、消費品三大事業群之所有生產據點。","0.2056","公噸/產品","ISO 14001"
"=""1909""","榮成","20.0200","52,414.7600","52,434.7800","母公司","0.0650","公噸/產品","N/A"
"=""2002""","中鋼","33.5000","517,130.7000","517,164.2000","母公司","0.0666","公噸/產品","ISO 14001"
"=""2006""","東和鋼鐵","33,507.0000","307,517.0000","341,024.0000","母公司","0.1790","公噸/鋼胚產量","ISO 9001,ISO 14001"
