"報告年度:2023","議題:溫室氣體排放"
"公司代號","公司名稱","直接(範疇一)溫室氣體排放量-數據(公噸CO₂e)","直接(範疇一)溫室氣體排放量-資料邊界","直接(範疇一)溫室氣體排放量-確信範圍","能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e)","能源間接(範疇二)溫室氣體排放量-資料邊界","能源間接(範疇二)溫室氣體排放量-確信範圍","其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e)","其他間接(範疇三)溫室氣體排放量-資料邊界","其他間接(範疇三)溫室氣體排放量-確信範圍","溫室氣體排放密集度-密集度(公噸CO₂e/百萬元營業額)"
"=""1457""","宜進","14.5073","以「宜進公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司」為盤查範圍。","以「宜進公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司」為盤查範圍","53.1140","以「宜進公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司」為盤查範圍","以「宜進公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司」為盤查範圍","1,594.5188","以「宜進公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司」為盤查範圍","以「宜進公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司」為盤查範圍","0.0717"
"=""1459""","聯發","0.0000","工廠","N/A","12,518.0000","工廠","N/A","N/A","N/A","N/A","19.5600"
"=""1460""","宏遠","52,461.5271","母公司","涵蓋宏遠興業股份有限公司(工廠登記編號: 99659051，管制編號: R0500240)：台南市山上區明和里256號擁有與經營之1家紡織廠，共計1處設施。","43,475.7015","母公司","涵蓋宏遠興業股份有限公司(工廠登記編號: 99659051，管制編號: R0500240)：台南市山上區明和里256號擁有與經營之1家紡織廠，共計1處設施。","N/A","N/A","N/A","18.4607"
"=""1463""","強盛","18,788.0000","母公司","N/A","204.0000","母公司","N/A","N/A","N/A","N/A","1.0830"
"=""1464""","得力","36,913.3921","僅母公司","僅母公司","26,393.7240","僅母公司","僅母公司","N/A","N/A","N/A","1.7439"
"=""1465""","偉全","6,830.0000","僅母公司","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1466""","聚隆","965.9688","涵蓋聚隆纖維股份有限公司「埔鹽廠」、「芳苑廠」、「斗六廠」，地理位置範圍分別為「彰化縣埔鹽鄉永樂村番金路 94 號」、「彰化縣芳苑鄉後寮村工區路 45 號」、「雲林縣斗六市斗工十路 150 號」所有運營相關設施。","N/A","38,566.8538","設定涵蓋聚隆纖維股份有限公司「埔鹽廠」、「芳苑廠」、「斗六廠」，地理位置範圍分別為「彰化縣埔鹽鄉永樂村番金路 94 號」、「彰化縣芳苑鄉後寮村工區路 45 號」、「雲林縣斗六市斗工十路 150 號」所有運營相關設施。","N/A","N/A","N/A","N/A","20.1125"
"=""1467""","南緯","113.5500","台灣總部、越南產區","N/A","2,014.0100","台灣總部、越南產區","N/A","N/A","N/A","N/A","1.4300"
"=""1468""","昶和","0.0000","母公司","N/A","827.0000","母公司","N/A","N/A","N/A","N/A","N/A"
"=""1470""","大統新創","9,785.0300","合併財務報表之母子公司之桃園廠區	","合併財務報表之母子公司之桃園廠區	","4,008.7100","合併財務報表之母子公司之桃園廠區	","合併財務報表之母子公司之桃園廠區	","N/A","N/A","N/A","21.0500"
"=""1471""","首利","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1472""","三洋實業","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1473""","台南","121.0881","台南企業總部","N/A","384.9742","台南企業總部","N/A","116.9031","台南企業總部","N/A","0.0095"
"=""1474""","弘裕","1,440.0000","弘裕企業公司(伸港廠、全興廠、和美廠、台北辦公室)","N/A","13,290.4000","弘裕企業公司(伸港廠、全興廠、和美廠、台北辦公室)","N/A","18,296.2000","弘裕企業公司(伸港廠、全興廠、和美廠、台北辦公室)","N/A","5.4841"
"=""1475""","業旺","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1476""","儒鴻","28,225.1678","包含合併財務報表之母子公司","包含合併財務報表之母子公司 ","90,560.7466","包含合併財務報表之母子公司","包含合併財務報表之母子公司","9,881.7272","包含合併財務報表之母子公司","包含合併財務報表之母子公司","3.8578"
