報告年度:2024,議題:職業安全衛生,,,,,,
公司代號,公司名稱,職業災害人數及比率-人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數)
2025,千興,1,1.52%,職業傷害,0,0,0
2027,大成鋼,52,1.02%,,0,0,0
2028,威致,6,1.57%,,0,0,0
2029,盛餘,0,0.00%,,0,0,0
2030,彰源,7,4.94%,夾捲傷、切割傷、壓傷、撞擊、物體飛落、不當動作等。,0,0,0
2031,新光鋼,5,1.73%,碰撞傷、夾傷、跌倒、肌肉骨骼傷害、切、割、擦傷、與有害物質接觸、物體倒塌、崩塌、其他,0,0,0
2032,新鋼,1,3.68%,被切(割)傷,0,0,0
2033,佳大,1,0.97%,,0,0,0
2034,允強,7,0.88%,職業傷害類型主要為切割擦傷及被捲被夾，本公司已採取改善措施，包含加強安全宣導、教育訓練、動態安全觀察以及提供個人安全防護具，以降低危害發生之機率。,0,0,0
2038,海光,1,0.20%,,0,0,0
2049,上銀,31,0.67%,被刺、割、擦傷、物體飛落、與有害物接觸、被夾、被捲、跌倒、不當動作、衝撞、被撞、墜落、滾落、交通事件,0,0,0
2059,川湖,0,0.00%,,0,0,0
2062,橋椿,15,1.50%,,0,0,0
2069,運錩,3,1.70%,,0,0,0
2101,南港,30,1.53%,被夾、捲傷：9件 被撞：2件 被切、割、擦傷：1件 跌倒：3件 物體飛落：2件 與高溫接觸(燙傷)：5件 墜落、滾落：1件 扭傷：4件 其他：3件 ,0,0,0
2102,泰豐,0,0.00%,,0,0,0
2103,台橡,2,0.12%,113年員工職業傷害類型為被撞1 件( 撞擊導致臉頰劃傷)與跌倒1 件 ( 被警戒繩絆住摔倒導致頭部受傷)，皆非屬嚴重職業傷害。,0,0,0
2104,國際中橡,3,0.24%,2024年國際中橡員工職災事故共有3起，包括：墜落/滾落、不當動作造成的職業傷害、跌倒事件。,0,0,0
2105,正新,77,1.78%,,0,0,0.00%
2106,建大,18,4.57%,,0,0,0
2107,厚生,1,0.52%,,0,0,0
2108,南帝,0,0.00%,,0,0,0
2109,華豐,10,1.99%,,0,0,0
2114,鑫永銓,2,1.90%,,0,0,0
2115,六暉-KY,0,0.00%,,0,0,0
2201,裕隆,1,0.09%,,0,0,0
2204,中華,8,0.70%,,1,0,0.00%
2206,三陽工業,2,0.08%,撞擊,0,0,0
2207,和泰車,0,0.00%,,0,0,0
2208,台船,13,0.47%,,5,0,0.00%
2211,長榮鋼,4,4.39%,,0,0,0
2227,裕日車,0,0.00%,,0,0,0
2228,劍麟,1,0.25%,,0,0,0
2231,為升,2,0.52%,,0,0,0
2233,宇隆,2,0.49%,,0,0,0
2236,百達-KY,0,0.00%,,0,0,0
2239,英利-KY,3,0.33%,,0,0,0
2241,艾姆勒,0,0.00%,無,0,0,0
2243,宏旭-KY,0,0.00%,,0,0,0
2247,汎德永業,3,0.18%,,0,0,0
2248,華勝-KY,0,0.00%,,0,0,0
2250,IKKA-KY,0,0.00%,N/A,0,0,0
2254,巨鎧精密-創,0,0.00%,,0,0,0
2258,鴻華先進-創,12,1.30%,,0,0,0
2301,光寶科,45,0.14%,被夾、被捲之事件（約占40%）,3,0,0.00%
2302,麗正,0,0.00%,0,0,0,0
2303,聯電,7,0.04%,走路受傷3人、接觸化學品受傷3人、其他1人 ,0,0,0
2305,全友,0,0.00%,N/A,0,0,0
2308,台達電,10,0.08%,損失工時職業災害 ,0,0,0
2312,金寶,45,0.25%,本公司依據勞動部職業安全署要求申報之職業傷害類別，蒐集全球廠區職業傷害人數。職業傷害類別包含墜落、滾落、跌倒、衝撞、物體飛落、物體倒塌、被撞、被夾/捲、切割擦傷、踩踏、與高溫/低溫接觸、與有害物接觸、感電、爆炸、物體破裂、火災、不當動作、其他傷害。,0,0,0
2313,華通,66,0.30%,除上下班途中之交通事故外，傷害類別主要為以作業環境事件為主，其中設備捲夾與物體飛落出現較頻繁，均已針對各事件進行事故調查及原因分析，並請權責單位針對環境變化擬定適當改善措施及預防再發，以降低同仁及工作者作業風險，針對交通事故我們也加強員工交通安全宣導及教育訓練。,0,0,0
2314,台揚,0,0.00%,無 ,0,0,0
2316,楠梓電,5,0.43%,,0,0,0
2317,鴻海,0,0.00%,-,0,0,0.00%
2321,東訊,3,1.97%,,0,0,0
2323,中環,10,1.80%,,0,0,0
2324,仁寶,33,0.09%,職災類型主要為通勤交通意外 ,0,0,0
2327,國巨,24,0.21%,與有害物接觸、跌倒、壓傷等,0,0,0
