報告年度:2024,議題:人力發展,,,,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,新進員工年齡分布-新進員工年齡分布,離職員工年齡分布-離職員工年齡分布,高齡員工晉用政策及培訓計畫-高齡員工晉用政策及培訓計畫
1457,宜進,"1,000",827,845,2.92%,759,3.69%,58.00%,113年無新進人員,113年有2人離職，年齡均在50歲以上。,無
1459,聯發,825,669,483,7.57%,404,2.54%,16.67%,,,
1460,宏遠,709,576,548,4.98%,492,4.68%,34.13%,30歲以下、31-50歲及51歲以上,30歲以下、31-50歲及51歲以上,2025年搭配政府培訓計畫進行實施。
1463,強盛新,690,598,557,8.16%,521,12.04%,26.47%,,,
1464,得力,742,637,580,4.69%,526,7.57%,36.21%,,,
1465,偉全,656,547,554,4.33%,491,2.94%,36.00%,,,
1466,聚隆,708,591,611,7.19%,606,10.18%,31.48%,,,
1467,南緯,918,766,702,6.36%,629,7.89%,14.50%,,,
1468,昶和,793,665,606,11.60%,542,3.83%,40.91%,29歲(含)以下：5人 30 - 50歲：14人 51歲(含)以上：5人,29歲(含)以下：9人 30 - 50歲：16人 51歲(含)以上：3人,
1470,大統新創,758,659,634,13.21%,547,15.64%,33.00%,,,
1471,首利,"1,128",959,769,3.92%,818,6.51%,29.41%,,,
1472,三洋實業,"1,605","1,445",826,2.86%,665,2.15%,27.03%,,,
1473,台南,"1,027",885,648,10.02%,558,13.18%,43.00%,,,
1474,弘裕,741,624,577,5.29%,539,7.16%,38.70%,,,
1475,業旺,"1,222","1,043",762,31.38%,647,10.41%,20.00%,,,
1476,儒鴻,"1,293","1,145","1,103",15.74%,961,15.37%,41.66%,,,
