報告年度:2023,議題:董事會,,,,,,
公司代號,公司名稱,董事席次(含獨立董事)(席)-董事席次(含獨立董事)(席),獨立董事席次(席)-獨立董事席次(席),董事出席董事會出席率-董事出席董事會出席率,董事進修時數符合進修要點比率-董事進修時數符合進修要點比率,女性董事席次及比率-席,女性董事席次及比率-比率
2429,銘旺科,7,3,89.23%,14.00%,1,14.00%
2430,燦坤,7,3,92.86%,100.00%,1,14.29%
2431,聯昌,11,3,96.88%,100.00%,4,36.36%
2432,倚天酷碁-創,7,4,100.00%,100.00%,2,28.57%
2433,互盛電,7,3,92.86%,100.00%,1,14.29%
2434,統懋,7,3,84.21%,100.00%,4,57.14%
2436,偉詮電,10,3,100.00%,100.00%,1,10.00%
2438,翔耀,7,3,75.00%,100.00%,2,28.57%
2439,美律,9,3,93.33%,100.00%,0,0.00%
2440,太空梭,7,3,95.24%,28.57%,1,14.29%
2441,超豐,9,3,91.67%,66.67%,0,0.00%
2442,新美齊,7,3,93.88%,100.00%,0,0.00%
2444,兆勁,8,4,94.29%,100.00%,2,25.00%
2449,京元電子,8,3,97.92%,37.50%,0,0.00%
2450,神腦,13,5,96.55%,84.62%,2,15.38%
2451,創見,9,3,97.22%,100.00%,2,22.22%
2453,凌群,7,3,95.00%,71.00%,2,29.00%
2454,聯發科,9,4,98.00%,100.00%,1,11.00%
2455,全新,11,3,98.70%,100.00%,1,9.09%
2457,飛宏,9,4,83.33%,100.00%,0,0.00%
2458,義隆,9,4,92.10%,100.00%,0,0.00%
2459,敦吉,9,4,100.00%,44.44%,0,0.00%
2460,建通,7,3,94.29%,100.00%,0,0.00%
2461,光群雷,7,4,97.62%,100.00%,3,43.00%
2462,良得電,9,4,100.00%,100.00%,1,11.11%
2464,盟立,8,2,88.24%,50.00%,1,12.50%
2465,麗臺,7,4,90.48%,42.86%,0,0.00%
2466,冠西電,8,3,92.15%,100.00%,3,37.50%
2467,志聖,8,4,96.15%,62.50%,0,0.00%
2468,華經,6,2,96.30%,100.00%,5,83.33%
2471,資通,9,4,97.06%,100.00%,2,22.22%
2472,立隆電,9,4,94.44%,100.00%,0,0.00%
2474,可成,7,3,90.48%,100.00%,0,0.00%
2476,鉅祥,9,4,98.31%,100.00%,3,33.33%
2477,美隆電,10,3,91.67%,20.00%,1,10.00%
2478,大毅,9,4,100.00%,100.00%,1,11.11%
2480,敦陽科,11,4,95.45%,100.00%,0,0.00%
2481,強茂,10,4,100.00%,100.00%,0,0.00%
2482,連宇,7,4,100.00%,14.29%,0,0.00%
2483,百容,9,4,100.00%,100.00%,3,33.00%
2484,希華,10,3,94.29%,100.00%,1,10.00%
2485,兆赫,13,3,53.85%,23.08%,0,0.00%
2486,一詮,8,4,100.00%,75.00%,0,0.00%
2488,漢平,12,4,98.67%,100.00%,1,8.33%
2489,瑞軒,11,4,96.97%,100.00%,3,0.27%
2491,吉祥全,7,3,91.42%,100.00%,2,28.57%
2492,華新科,7,3,91.80%,100.00%,1,14.29%
2493,揚博,8,4,100.00%,50.00%,2,25.00%
2495,普安,7,4,100.00%,100.00%,0,0.00%
2496,卓越,10,4,96.49%,100.00%,5,50.00%
2497,怡利電,6,4,97.01%,100.00%,1,10.00%
2498,宏達電,8,4,96.67%,87.50%,1,12.50%
2501,國建,9,3,95.10%,100.00%,1,11.00%
2504,國產,12,4,97.92%,100.00%,1,8.33%
2505,國揚,9,3,94.32%,100.00%,1,11.00%
2506,太設,9,3,100.00%,100.00%,1,0.11%
2509,全坤建,6,3,100.00%,50.00%,0,0.00%
2511,太子,17,5,93.00%,82.35%,3,17.65%
2514,龍邦,8,4,100.00%,100.00%,2,25.00%
2515,中工,9,3,91.00%,100.00%,0,0.00%
2516,新建,9,3,80.00%,100.00%,2,22.22%
2520,冠德,9,3,86.42%,100.00%,1,11.00%
2524,京城,8,4,90.00%,100.00%,2,25.00%
2527,宏璟,11,3,95.96%,45.45%,4,36.36%
2528,皇普,7,4,89.36%,100.00%,0,0.00%
2530,華建,7,3,100.00%,100.00%,0,0.00%
2534,宏盛,7,3,96.83%,100.00%,2,28.57%
2535,達欣工,7,3,97.96%,100.00%,0,0.00%
2536,宏普,7,4,97.62%,100.00%,2,28.57%
2537,聯上發,7,3,97.96%,85.71%,3,42.86%
2538,基泰,11,3,89.61%,0.00%,1,9.09%
2539,櫻花建,7,3,100.00%,100.00%,2,28.57%
2540,愛山林,7,3,89.29%,42.86%,2,28.57%
2542,興富發,6,2,96.92%,100.00%,1,16.67%
2543,皇昌,7,3,95.91%,100.00%,1,14.29%
2545,皇翔,11,4,97.40%,9.09%,3,27.27%
2546,根基,9,3,93.05%,100.00%,0,0.00%
2547,日勝生,9,4,98.99%,100.00%,0,0.00%
2548,華固,10,4,95.52%,100.00%,2,20.00%
2597,潤弘,9,3,88.89%,100.00%,1,11.11%
2601,益航,7,4,85.71%,100.00%,0,0.00%
2603,長榮,9,3,98.86%,100.00%,1,11.11%
2605,新興,7,4,91.43%,14.29%,0,0.00%
2606,裕民,11,3,97.00%,100.00%,2,18.18%
2607,榮運,9,3,98.55%,100.00%,1,11.11%
2608,嘉里大榮,9,3,84.21%,44.00%,2,22.00%
2609,陽明,11,3,89.02%,100.00%,0,0.00%
2610,華航,13,3,94.87%,100.00%,3,23.08%
