報告年度:2023,議題:人力發展,,,,,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數)
1709,和益,"1,511","1,297","1,175","1,063",20.00%,0,0.00%,本公司已通過ISO 9001國際品質管理系統、ISO14001環境管理系統及ISO 45001職業安全衛生管理系統認證。林園廠每月實施環安訓練課程，包含：火災、電器安全、缺氧預防、施工架職災宣導、製程安全宣導、虛驚事故及事故檢討(不含各部門之內訓)，課程時數每月2小時，2023年度176人共985小時。並落實工安自主管理，包含以下措施：1.每日巡檢。2.每月預防保養。3.每2年歲修汰換設備及管線。4.以工安動火許可證管制相關危害及危險性工作。,0,0,0
1710,東聯,"1,307","1,005","1,030",977,8.00%,1,0.30%,,0,0,0.00%
1711,永光,837,690,718,682,17.00%,6,0.32%,傷害類型為切割擦傷2件及被捲夾傷4件,1,0,0.00%
1712,興農,897,763,752,666,17.78%,0,0.00%,,0,0,0
1713,國化,"1,250","1,113",838,793,3.41%,0,0.00%,,0,0,0
1714,和桐,"1,072",912,781,643,42.11%,0,0.00%,,0,0,0
1717,長興,"1,133",942,911,796,15.60%,6,0.00%,有害物接觸、高溫灼傷、搬運撞傷,1,1,0.00%
1718,中纖,800,642,654,608,22.06%,3,0.50%,,0,0,0
1720,生達,980,830,879,760,34.29%,11,1.37%,,0,0,0
1721,三晃,871,715,709,675,26.32%,3,1.86%,,0,0,0
1722,台肥,"1,857","1,636","1,514","1,352",15.56%,4,3.20%,,0,0,0
1723,中碳,"1,867","1,649","1,470","1,368",9.50%,0,0.00%,,0,0,0
1725,元禎,951,756,716,623,13.33%,0,0.00%,,0,0,0
1726,永記,934,801,778,711,6.00%,10,7.87%,廠內職災主要為：噴濺、割傷、摔傷等                  廠外職災主要為：交通事故,0,0,0
