報告年度:2023,議題:能源管理,,,
公司代號,公司名稱,使用率(再生能源/總能源)-使用率(再生能源/總能源),資料範圍-資料範圍,驗證標準-取得驗證
2606,裕民,N/A,N/A, DNV VeriSustain 中度保證等級
2607,榮運,N/A,N/A,N/A
2608,嘉里大榮,N/A,N/A,N/A
2609,陽明,1.94%,僅母公司,N/A
2610,華航,0.00%,永續航空燃油使用率,ISO 50001
2611,志信,N/A,N/A,N/A
2612,中航,N/A,N/A,N/A
2613,中櫃,N/A,N/A,N/A
2614,東森,N/A,N/A,ISO 50001
2615,萬海,N/A,N/A,N/A
2616,山隆,N/A,N/A,N/A
2617,台航,N/A,N/A,N/A
2618,長榮航,0.00%,僅母公司。,ISO 50001
2630,亞航,N/A,N/A,N/A
2633,台灣高鐵,0.03%,全公司,N/A
2634,漢翔,1.23%,母公司,ISO 50001
2636,台驊投控,N/A,N/A,N/A
2637,慧洋-KY,0.00%,包含合併財務報表之母子公司,N/A
2642,宅配通,N/A,N/A,N/A
2645,長榮航太,N/A,N/A,N/A
2646,星宇航空,N/A,N/A,N/A
2701,萬企,N/A,N/A,N/A
2702,華園,N/A,N/A,N/A
2704,國賓,N/A,N/A,N/A
2705,六福,N/A,N/A,N/A
2706,第一店,N/A,N/A,N/A
2707,晶華,N/A,N/A,N/A
2712,遠雄來,N/A,N/A,N/A
2722,夏都,N/A,N/A,N/A
2723,美食-KY,N/A,N/A,N/A
2727,王品,N/A,N/A,N/A
2731,雄獅,N/A,N/A,ISO14061-1
2739,寒舍,N/A,N/A,N/A
2748,雲品,N/A,N/A,ISO 50001
2753,八方雲集,0.16%,2023年溫室氣體盤查與量化之範圍包含總公司與各生產廠區(研發中心、總廠、北新廠、屯山廠、三芝倉、瓦磘坑倉、淡金倉、員工休閒中心、西螺廠、二崙倉、良星倉、高雄一廠、高雄二廠及總公司辦公室)；不包含各區辦公室與直營門市。,N/A
2762,世界健身-KY,N/A,N/A,N/A
2801,彰銀,1.28%,合併財務報表之母子公司,ISO 50001
2812,台中銀,0.55%,"""全行單位用電量 太陽能發電工程: 1.自2021年起陸續於各分行進行太陽能光電工程，2023年神岡、霧峰分行分別申請再生能源35,000度和23,000度，累積憑證數分別為35張和23張。 2.埤頭與和美分行於2023年底提出再生能源案場申請，並交由憑證中心審查書面資料。 3.規劃於2024年進行社頭及秀水分行的太陽能光電工程建置。"" ",N/A
2816,旺旺保,0.00%,旺旺友聯搜集了15個營運據點（包含總公司、14家分公司）的能源使用資訊,其他
2820,華票,N/A,N/A,N/A
2832,台產,N/A,N/A,N/A
2834,臺企銀,N/A,N/A,ISO 50001
