"報告年度:2022","議題:人力發展"
"公司代號","公司名稱","員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開)","員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開)","非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)","非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)","管理職女性主管占比-管理職女性主管占比","職業災害人數及比率-人數","職業災害人數及比率-比率"
"=""2201""","裕隆","1126","954","863","812","8.54%","1","0.09%"
"=""2204""","中華","1250","1083","1111","994","12.35%","5","0.26%"
"=""2206""","三陽工業","1207","1032","1014","998","7.91%","1","0.04%"
"=""2207""","和泰車","2764","2380","2080","1737","23.00%","0","0.00%"
"=""2208""","台船","1134","948","939","897","6.00%","3","0.10%"
"=""2211""","長榮鋼","1145","953","993","951","21.00%","4","0.70%"
"=""2227""","裕日車","1552","1276","1182","1117","15.00%","0","0.00%"
"=""2228""","劍麟","800","686","630","534","10.81%","1","0.23%"
"=""2231""","為升","922","811","638","549","27.03%","1","0.26%"
"=""2233""","宇隆","926","804","833","711","27.27%","1","0.20%"
"=""2236""","百達-KY","","","","","18.60%","0","0.00%"
"=""2239""","英利-KY","","","","","0.00%","0","0.00%"
"=""2241""","艾姆勒","856","700","649","577","15.15%","12","2.65%"
"=""2243""","宏旭-KY","","","","","4.26%","0","0.00%"
"=""2247""","汎德永業","1133","952","1035","815","8.70%","11","0.65%"
"=""2248""","華勝-KY","","","","","","",""
"=""2250""","IKKA-KY","","","","","37.00%","0","0.00%"
"=""2254""","巨鎧精密-創","","","","","","",""
"=""2258""","鴻華先進-創","","","","","","",""
"=""2301""","光寶科","1662","1488","1472","1129","23.24%","40","0.13%"
"=""2302""","麗正","733","609","613","497","5.00%","0","0.00%"
"=""2303""","聯電","2525","2334","2080","1656","22.10%","13","0.09%"
"=""2305""","全友","961","815","717","710","25.00%","0","0.00%"
"=""2308""","台達電","1831","1625","1701","1422","32.00%","236","0.28%"
"=""2312""","金寶","2013","1765","1411","1219","26.83%","1","0.22%"
"=""2313""","華通","1068","907","1004","894","15.00%","60","1.20%"
"=""2314""","台揚","1002","852","834","656","14.29%","3","0.50%"
"=""2316""","楠梓電","615","503","534","491","40.00%","9","0.68%"
"=""2317""","鴻海","2972","2501","2538","1768","21.23%","241","0.03%"
"=""2321""","東訊","1004","832","787","663","11.90%","2","1.20%"
"=""2323""","中環","737","630","597","576","26.00%","12","1.72%"
"=""2324""","仁寶","1491","1290","1352","1180","11.99%","87","0.90%"
"=""2327""","國巨*","876","772","740","642","34.00%","8","0.20%"
"=""2328""","廣宇","2127","1811","1370","1264","27.27%","0","0.00%"
"=""2329""","華泰","791","652","702","620","45.00%","7","0.14%"
"=""2330""","台積電","3446","3175","3167","2435","13.30%","35","0.05%"
"=""2331""","精英","1639","1442","1271","1044","31.88%","9","1.38%"
"=""2332""","友訊","1274","1083","1078","974","55.56%","0","0.00%"
"=""2337""","旺宏","2041","1813","1729","1281","28.00%","2","0.05%"
"=""2338""","光罩","1234","1042","1111","936","3.49%","4","1.07%"
"=""2340""","台亞","1079","941","806","693","26.00%","0","0.00%"
"=""2342""","茂矽","1096","925","963","858","25.90%","11","0.16%"
"=""2344""","華邦電","2451","2254","1926","1580","1.33%","3","0.08%"
"=""2345""","智邦","1456","1289","1324","934","25.20%","12","0.37%"
"=""2347""","聯強","1468","1272","1228","1049","44.35%","1","0.14%"
"=""2348""","海悅","1510","1309","1109","955","30.77%","0","0.00%"
"=""2349""","錸德","727","630","670","578","2.61%","0","0.00%"
"=""2351""","順德","883","738","726","601","10.39%","4","0.26%"
"=""2352""","佳世達","2236","1953","1696","1290","15.30%","0","0.00%"
"=""2353""","宏碁","2039","1756","1772","1442","31.32%","14","0.00%"
"=""2354""","鴻準","2320","1941","2498","1634","0.00%","0","0.00%"
"=""2355""","敬鵬","825","706","710","640","26.00%","29","1.00%"
"=""2356""","英業達","1320","1155","1121","939","13.58%","41","0.21%"
"=""2357""","華碩","1676","1476","1617","1310","22.72%","1","0.01%"
"=""2359""","所羅門","1097","934","919","779","0.06%","7","2.30%"
"=""2360""","致茂","1548","1355","1401","1144","14.04%","1","0.00%"
"=""2362""","藍天","1327","1119","1204","1078","26.00%","1","0.00%"
"=""2363""","矽統","1673","1502","1308","1210","22.00%","0","0.00%"
"=""2364""","倫飛","1079","929","737","643","29.27%","0","0.00%"
"=""2365""","昆盈","1206","957","847","719","35.71%","0","0.00%"
"=""2367""","燿華","791","672","673","605","13.95%","2","0.04%"
"=""2368""","金像電","1115","959","887","721","19.93%","47","0.72%"
"=""2369""","菱生","662","536","591","507","17.05%","0","0.00%"
