報告年度:2022,議題:溫室氣體排放,,,,,,,,,,,
公司代號,公司名稱,直接(範疇一)溫室氣體排放量-數據(公噸CO₂e),直接(範疇一)溫室氣體排放量-資料邊界,直接(範疇一)溫室氣體排放量-確信範圍,能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e),能源間接(範疇二)溫室氣體排放量-資料邊界,能源間接(範疇二)溫室氣體排放量-確信範圍,其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e),其他間接(範疇三)溫室氣體排放量-資料邊界,其他間接(範疇三)溫室氣體排放量-確信範圍,溫室氣體排放密集度-密集度(噸CO2e/單位),溫室氣體排放密集度-單位
1439,雋揚,無，尚無排放範疇一之溫室氣體,,,7.8752,母公司,,無，尚無排放範疇三之溫室氣體,,,無，無統計相關數據,
1440,南紡,55207.4333,母公司,ISO 14064,80073.1047,母公司,ISO 14064,627638.1231,母公司,ISO 14064,12.0922,百萬元營業額
1441,大東,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1442,名軒,無，無統計相關數據,,,30.288,母公司,,無，無統計相關數據,,,無，無統計相關數據,
1443,立益物流,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1444,力麗,90107.49,力麗化纖總廠,ISO 14064,68277.08,力麗化纖總廠,ISO 14064,無，無統計相關數據,,,0.3568,產品
1445,大宇,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1446,宏和,無，無相關排放設備,,,276.315,母公司,,無，無相關排放設備,,,無，無相關排放設備,
1447,力鵬,114687.1,母公司楊梅廠及尼龍廠,ISO 14064,111957.8,母公司楊梅廠及尼龍廠,ISO 14064,無，無統計相關數據,,,1.057,產品
1449,佳和,12633.462,母公司,,82121.777,母公司,,無，無統計相關數據,,,0.0117,產品
1451,年興,16472.1637,僅母公司,,19221.8104,僅母公司,,無，無統計相關數據,,,0.0013,產品
1452,宏益,45.0645,包含合併財務報表之母子公司,,23152.374,包含合併財務報表之母子公司,,無，無統計相關數據,,,0.9712,每公噸產品                                                                                                                                                                                              
1453,大將,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1454,台富,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
