"報告年度:2022","議題:董事會"
"公司代號","公司名稱","董事席次(含獨立董事)(席)-董事席次(含獨立董事)(席)","獨立董事席次(席)-獨立董事席次(席)","女性董事席次及比率-席","女性董事席次及比率-比率","董事出席董事會出席率-董事出席董事會出席率","董事進修時數符合進修要點比率-董事進修時數符合進修要點比率"
"=""2413""","環科","11","4","1","9.09%","87.50%","100.00%"
"=""2414""","精技","9","3","1","11.11%","97.78%","100.00%"
"=""2415""","錩新","7","3","1","14.29%","100.00%","100.00%"
"=""2417""","圓剛","7","3","0","0.00%","95.23%","100.00%"
"=""2419""","仲琦","10","3","2","20.00%","100.00%","100.00%"
"=""2420""","新巨","7","3","1","14.29%","97.62%","100.00%"
"=""2421""","建準","9","4","3","33.33%","97.78%","0.00%"
"=""2423""","固緯","9","3","1","11.11%","91.11%","100.00%"
"=""2424""","隴華","9","4","1","11.11%","97.22%","55.55%"
"=""2425""","承啟","7","4","1","14.00%","97.22%","71.40%"
"=""2426""","鼎元","7","3","1","14.00%","100.00%","100.00%"
"=""2427""","三商電","9","4","0","0.00%","92.42%","100.00%"
"=""2428""","興勤","7","3","1","14.29%","100.00%","100.00%"
"=""2429""","銘旺科","7","3","0","0.00%","97.00%","0.00%"
"=""2430""","燦坤","7","3","1","14.29%","97.62%","100.00%"
"=""2431""","聯昌","10","3","2","20.00%","94.00%","100.00%"
"=""2432""","倚天酷碁-創","7","4","2","28.57%","100.00%","100.00%"
"=""2433""","互盛電","7","3","1","14.29%","91.43%","100.00%"
"=""2434""","統懋","6","2","4","66.67%","83.33%","100.00%"
"=""2436""","偉詮電","10","3","1","10.00%","100.00%","100.00%"
"=""2438""","翔耀","7","3","1","14.00%","100.00%","0.00%"
"=""2439""","美律","9","3","0","0.00%","100.00%","100.00%"
"=""2440""","太空梭","7","3","1","14.29%","100.00%","28.57%"
"=""2441""","超豐","9","3","0","0.00%","88.89%","44.44%"
"=""2442""","新美齊","7","3","0","0.00%","100.00%","100.00%"
"=""2444""","兆勁","6","3","2","0.33%","97.22%","61.11%"
"=""2449""","京元電子","9","3","0","0.00%","100.00%","55.56%"
"=""2450""","神腦","13","5","2","15.38%","97.64%","76.92%"
"=""2451""","創見","9","3","2","22.22%","91.67%","100.00%"
"=""2453""","凌群","7","3","2","29.00%","94.00%","57.00%"
"=""2454""","聯發科","8","3","0","0.00%","100.00%","100.00%"
"=""2455""","全新","11","3","1","9.09%","100.00%","81.82%"
"=""2457""","飛宏","12","3","0","0.00%","90.63%","100.00%"
"=""2458""","義隆","9","4","0","0.00%","97.00%","100.00%"
"=""2459""","敦吉","9","4","0","0.00%","98.41%","44.44%"
"=""2460""","建通","7","3","0","0.00%","100.00%","100.00%"
"=""2461""","光群雷","7","3","3","43.00%","97.14%","100.00%"
"=""2462""","良得電","9","3","1","11.11%","100.00%","89.00%"
"=""2464""","盟立","9","3","1","11.00%","89.86%","66.67%"
"=""2465""","麗臺","7","4","0","0.00%","96.00%","43.00%"
"=""2466""","冠西電","9","3","2","22.22%","98.15%","100.00%"
"=""2467""","志聖","9","4","0","0.00%","98.31%","33.33%"
"=""2468""","華經","7","3","5","71.43%","100.00%","100.00%"
"=""2471""","資通","8","3","2","25.00%","95.00%","100.00%"
"=""2472""","立隆電","9","4","0","0.00%","100.00%","100.00%"
"=""2474""","可成","7","3","0","0.00%","97.96%","42.86%"
"=""2476""","鉅祥","7","3","2","29.00%","100.00%","100.00%"
"=""2477""","美隆電","10","3","1","10.00%","96.67%","40.00%"
"=""2478""","大毅","9","3","2","22.22%","100.00%","100.00%"
"=""2480""","敦陽科","11","4","0","0.00%","98.00%","100.00%"
"=""2481""","強茂","7","3","0","0.00%","94.23%","100.00%"
"=""2482""","連宇","7","3","0","0.00%","92.86%","28.57%"
"=""2483""","百容","9","4","3","33.33%","98.41%","100.00%"
"=""2484""","希華","10","3","0","0.00%","91.40%","100.00%"
"=""2485""","兆赫","13","3","0","0.00%","58.97%","15.38%"
"=""2486""","一詮","7","3","0","0.00%","92.86%","71.43%"
"=""2488""","漢平","13","3","0","0.00%","100.00%","100.00%"
"=""2489""","瑞軒","10","3","2","20.00%","96.36%","100.00%"
"=""2491""","吉祥全","7","3","2","28.57%","93.88%","100.00%"
"=""2492""","華新科","7","3","1","14.29%","88.75%","100.00%"
"=""2493""","揚博","7","3","1","14.28%","100.00%","28.57%"
"=""2495""","普安","7","4","0","0.00%","100.00%","100.00%"
"=""2496""","卓越","9","3","5","56.00%","98.00%","100.00%"
