"報告年度:2024","議題:持股及控制力"
"=""1723""","中碳","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1723_20250617F17.pdf"
"=""1725""","元禎","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1725_20250611F17.pdf"
"=""1726""","永記","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1726_20250529F17.pdf"
"=""1727""","中華化","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1727_20250523F17.pdf"
"=""1730""","花仙子","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1730_20250529F17.pdf"
"=""1731""","美吾華","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1731_20250605F17.pdf"
"=""1732""","毛寶","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1732_20250612F17.pdf"
"=""1733""","五鼎","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1733_20250523F17.pdf"
"=""1734""","杏輝","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1734_20250619F17.pdf"
"=""1735""","日勝化","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1735_20250529F17.pdf"
"=""1736""","喬山","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1736_20250626F17.pdf"
"=""1737""","臺鹽","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1737_20250626F17.pdf"
"=""1752""","南光","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1752_20250521F17.pdf"
"=""1760""","寶齡富錦","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1760_20250523F17.pdf"
"=""1762""","中化生","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1762_20250529F17.pdf"
"=""1773""","勝一","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1773_20250521F17.pdf"
"=""1776""","展宇","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1776_20250527F17.pdf"
"=""1783""","和康生","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1783_20250611F17.pdf"
"=""1786""","科妍","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1786_20250627F17.pdf"
"=""1789""","神隆","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1789_20250528F17.pdf"
"=""1795""","美時","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1795_20250626F17.pdf"
"=""1802""","台玻","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1802_20250611F17.pdf"
"=""1805""","寶徠","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1805_20250627F17.pdf"
"=""1806""","冠軍","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1806_20250616F17.pdf"
"=""1808""","潤隆","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1808_20250617F17.pdf"
"=""1809""","中釉","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1809_20250619F17.pdf"
"=""1810""","和成","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1810_20250616F17.pdf"
"=""1817""","凱撒衛","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1817_20250526F17.pdf"
"=""1903""","士紙","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1903_20250620F17.pdf"
"=""1904""","正隆","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1904_20250529F17.pdf"
"=""1905""","華紙","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1905_20250617F17.pdf"
"=""1906""","寶隆","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1906_20250527F17.pdf"
"=""1907""","永豐餘","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1907_20250620F17.pdf"
"=""1909""","榮成","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1909_20250528F17.pdf"
"=""2002""","中鋼","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2002_20250619F17.pdf"
"=""2006""","東和鋼鐵","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2006_20250520F17.pdf"
"=""2007""","燁興","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2007_20250617F17.pdf"
"=""2008""","高興昌","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2008_20250619F17.pdf"
"=""2009""","第一銅","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2009_20250626F17.pdf"
"=""2010""","春源","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2010_20250619F17.pdf"
"=""2012""","春雨","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2012_20250526F17.pdf"
"=""2013""","中鋼構","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2013_20250528F17.pdf"
